confidence_threshold,nms_iou_threshold,metric_value
0.1,0.01,
0.1,0.1,
0.1,0.3,
0.1,0.5,
0.1,0.7,
0.3,0.01,
0.3,0.1,
0.3,0.3,
0.3,0.5,
0.3,0.7,
0.5,0.01,
0.5,0.1,
0.5,0.3,
0.5,0.5,
0.5,0.7,
0.7,0.01,
0.7,0.1,
0.7,0.3,
0.7,0.5,
0.7,0.7,
0.9,0.01,
0.9,0.1,
0.9,0.3,
0.9,0.5,
0.9,0.7,
